umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-4.631171,5.229481,8.32911,2
16.98584,-1.8118799,17.584236,1
-14.476492,-7.690374,-3.5083997,2
-0.9715083,0.37706822,-13.543475,2
-3.0848777,11.4859085,22.592623,2
-4.878693,5.2589884,8.304048,2
-4.8610663,5.1321955,8.432388,2
1.8895781,-16.376526,1.1824739,2
-0.9818104,0.5194806,-13.673999,2
9.499252,3.9907062,-5.0698237,1
1.7344847,-16.235796,1.3777544,2
-1.0204985,0.38073584,-13.659936,2
-4.624301,5.2045317,8.171685,2
19.785368,-4.643559,8.116618,1
14.405607,-0.46445736,9.092171,1
-4.771354,5.158888,8.213091,2
9.553501,4.044858,-5.015674,1
-4.6411395,5.1067,8.317321,2
2.2928114,-5.66424,26.150991,2
-4.7567134,5.2364964,8.323696,2
2.5218608,-4.253325,13.12131,2
-4.8268204,5.284724,8.253181,2
1.827591,-16.120863,1.2481452,2
-0.86563915,0.34826228,-13.619834,2
-0.8070473,0.35817784,-13.714738,2
-14.577577,-7.775941,-3.4945168,2
-3.0261323,11.566701,22.754768,2
1.9057313,-16.336493,1.4206946,2
9.529676,4.02114,-5.0387993,1
-4.565671,5.253478,8.100506,2
16.923674,-1.774737,17.479275,1
14.356472,-0.44074017,9.090437,1
19.872997,-4.6253653,8.174996,1
1.7531276,-16.332937,1.394615,2
16.974684,-1.9078977,17.486828,1
-4.4953017,5.2572227,8.162201,2
-0.96285725,0.32876718,-13.825873,2
-4.5478,5.2633286,8.299264,2
-1.00417,0.20920792,-13.673793,2
11.143402,18.737705,13.422753,1
-0.9212749,0.4883146,-13.640784,2
0.10296647,22.320833,-4.305114,2
16.096336,7.0464015,3.4936407,1
-4.625813,14.288114,-0.14603041,2
-4.67072,5.204774,8.269858,2
-4.6974897,5.066162,8.231516,2
-3.2794578,11.187851,22.659262,2
1.7919763,-16.32881,1.325848,2
-1.0346272,0.49080813,-13.682684,2
-4.565295,5.333188,8.143124,2
-0.8752224,0.43538842,-13.711261,2
-0.9494847,0.6309162,-13.626951,2
-3.1439853,11.559408,22.542006,2
-1.0346868,0.5424697,-13.839395,2
6.4516397,2.2961287,13.573438,2
9.484725,3.9761503,-5.082932,1
25.837067,0.5235345,2.5330484,1
-10.5116625,-6.7584186,12.768917,2
18.45127,-7.5786433,-4.685993,1
2.524807,-4.2562914,13.124234,2
-4.699761,5.1333036,8.25163,2
-0.81185603,0.4387976,-13.824437,2
-0.9963233,0.24075693,-13.821199,2
-14.569184,-7.791925,-3.5287309,2
18.476906,-7.604293,-4.660342,1
-3.0560436,11.42379,22.648834,2
-4.6781607,5.215308,8.097733,2
-0.8314498,0.5884966,-13.901598,2
11.503562,-0.68158686,-8.949312,1
1.9483387,-16.30354,1.3463134,2
16.925364,-1.9148579,17.627247,1
11.569401,-0.8088485,-8.890551,1
1.9289117,-16.293245,1.2365501,2
14.535682,-0.2986108,9.295109,1
